Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
temp | CRR215427.merged	465.755521482	3.67500734023	96.3249926598	61306.0	28553608.0	247-476	61306.0	52.0
temp | CRR215428.merged	468.02150217	3.60633469171	96.3936653083	60366.0	28252586.0	247-476	60366.0	53.0
temp | CRR215429.merged	453.727178221	3.7603144695	96.2396855305	61564.0	27933260.0	247-475	61564.0	52.0
temp | CRR215430.merged	461.889315419	4.27596502453	95.7240349755	28134.0	12994794.0	244-475	28134.0	53.0
temp | CRR215431.merged	466.903712756	4.68317578981	95.3168242102	27823.0	12990662.0	243-475	27823.0	53.0
temp | CRR215432.merged	464.403528162	4.34006376196	95.659936238	23525.0	10925093.0	285-475	23525.0	55.0
temp | CRR215433.merged	466.305415864	4.16801622884	95.8319837712	58661.0	27353942.0	246-476	58661.0	52.0
temp | CRR215434.merged	459.158228633	4.0564556125	95.9435443875	48392.0	22219585.0	256-475	48392.0	54.0
temp | CRR215435.merged	460.872916878	4.02551381999	95.97448618	49385.0	22760209.0	247-475	49385.0	53.0
temp | CRR215436.merged	453.357786089	2.98437438912	97.0156256109	76733.0	34787503.0	245-475	76733.0	52.0
temp | CRR215437.merged	460.341732079	4.72700464027	95.2729953597	46118.0	21230040.0	243-475	46118.0	52.0
temp | CRR215438.merged	453.380791152	3.23627334801	96.763726652	70884.0	32137444.0	247-475	70884.0	52.0
temp | CRR215439.merged	456.447447013	3.83536353599	96.164636464	55249.0	25218265.0	245-475	55249.0	51.0
temp | CRR215440.merged	459.192204646	4.37366395896	95.626336041	70170.0	32221517.0	244-476	70170.0	52.0
temp | CRR215441.merged	461.39991207	4.10226926849	95.8977307315	59138.0	27286268.0	245-476	59138.0	52.0
temp | CRR215442.merged	456.964410103	4.91523469035	95.0847653097	43355.0	19811692.0	245-476	43355.0	52.0
temp | CRR215443.merged	455.460745516	4.1727835578	95.8272164422	62668.0	28542814.0	243-475	62668.0	52.0
temp | CRR215444.merged	453.87587918	4.22916714087	95.7708328591	43933.0	19940129.0	248-475	43933.0	52.0
temp | CRR215445.merged	455.861423715	4.71601597307	95.2839840269	60602.0	27626114.0	244-475	60602.0	52.0
temp | CRR215446.merged	457.41197361	4.02200118379	95.9779988162	69269.0	31684470.0	244-475	69269.0	53.0
temp | CRR215447.merged	454.854263443	3.33099181981	96.6690081802	88262.0	40146347.0	243-475	88262.0	51.0
temp | CRR215448.merged	454.987614772	4.56380986758	95.4361901324	44327.0	20168236.0	244-475	44327.0	52.0
temp | CRR215449.merged	458.863701884	4.81736281736	95.1826371826	61050.0	28013629.0	245-475	61050.0	53.0
temp | CRR215450.merged	455.684192794	4.34440804867	95.6555919513	53425.0	24344928.0	245-476	53425.0	51.0
temp | CRR215451.merged	459.836564724	3.98934381013	96.0106561899	74323.0	34176433.0	245-476	74323.0	51.0
temp | CRR215452.merged	451.929403761	3.64423552697	96.355764473	80840.0	36533973.0	245-476	80840.0	53.0
temp | CRR215453.merged	456.030289424	3.28712278535	96.7128772146	53451.0	24375275.0	247-475	53451.0	51.0
temp | CRR215454.merged	454.004103136	3.57800178985	96.4219982102	59223.0	26887485.0	249-475	59223.0	53.0
temp | CRR215455.merged	455.048704557	4.67588325653	95.3241167435	48825.0	22217753.0	248-475	48825.0	52.0
temp | CRR215456.merged	461.158634433	5.45387802192	94.5461219781	38138.0	17587668.0	245-475	38138.0	52.0
temp | CRR215457.merged	458.125463392	3.89745796372	96.1025420363	60424.0	27681773.0	248-475	60424.0	53.0
temp | CRR215458.merged	452.912597997	3.62825872412	96.3717412759	90181.0	40844111.0	243-475	90181.0	52.0
temp | CRR215459.merged	460.032519191	4.82205163992	95.1779483601	42990.0	19776798.0	245-475	42990.0	50.0
temp | CRR215460.merged	461.065057712	4.01364113326	95.9863588667	68616.0	31636440.0	244-476	68616.0	52.0
temp | CRR215461.merged	456.636897371	4.0361768989	95.9638231011	65235.0	29788708.0	253-476	65235.0	52.0
temp | CRR215462.merged	457.775947636	4.03673309887	95.9632669011	51180.0	23428973.0	245-476	51180.0	52.0
temp | CRR215463.merged	465.137753581	3.45327743448	96.5467225655	50329.0	23409918.0	280-475	50329.0	52.0
temp | CRR215464.merged	454.722331256	3.94642620342	96.0535737966	75410.0	34290611.0	245-476	75410.0	52.0
temp | CRR215465.merged	454.512448782	3.82328838561	96.1767116144	67115.0	30504603.0	250-475	67115.0	52.0
temp | CRR215466.merged	454.23381104	3.46439653764	96.5356034624	48984.0	22250189.0	245-475	48984.0	52.0
temp | CRR215467.merged	453.228517182	3.73165815011	96.2683418499	42662.0	19335635.0	245-476	42662.0	52.0
temp | CRR215468.merged	449.830394129	4.42064149604	95.579358504	33796.0	15202468.0	256-475	33796.0	52.0
temp | CRR215469.merged	449.931065331	4.3630508128	95.6369491872	39124.0	17603103.0	264-474	39124.0	52.0
temp | CRR215470.merged	450.692732793	4.73777331207	95.2622266879	45781.0	20633164.0	262-476	45781.0	52.0
temp | CRR215471.merged	451.321560238	3.92790496564	96.0720950344	43942.0	19831972.0	244-475	43942.0	52.0
temp | CRR215472.merged	456.321145882	3.72975224839	96.2702477516	40807.0	18621097.0	256-475	40807.0	51.0
temp | CRR215473.merged	455.683514617	4.11224778618	95.8877522138	49462.0	22539018.0	276-476	49462.0	51.0
temp | CRR215474.merged	451.311828722	3.25295777319	96.7470422268	42177.0	19034979.0	258-475	42177.0	52.0
temp | CRR215475.merged	455.691651993	3.79182007364	96.2081799264	49976.0	22773646.0	249-475	49976.0	51.0
temp | CRR215476.merged	450.763150579	2.69522847987	97.3047715201	68343.0	30806506.0	258-475	68343.0	52.0
temp | CRR215477.merged	461.148876634	3.86673430315	96.1332656968	61111.0	28181269.0	246-475	61111.0	52.0
temp | CRR215478.merged	461.89417973	2.91284705809	97.0871529419	129049.0	59606982.0	243-476	129049.0	53.0
temp | CRR215479.merged	451.112158106	2.84500821111	97.1549917889	88295.0	39830948.0	243-475	88295.0	53.0
temp | CRR215480.merged	457.705553221	3.12060995377	96.8793900462	83285.0	38120007.0	260-475	83285.0	52.0
temp | CRR215481.merged	450.732803161	3.15894112882	96.8410588712	81483.0	36727061.0	246-476	81483.0	52.0
temp | CRR215482.merged	459.263417902	3.1686617831	96.8313382169	111940.0	51409947.0	251-475	111940.0	51.0
temp | CRR215483.merged	456.76779936	3.09904853773	96.9009514623	114035.0	52087516.0	244-476	114035.0	51.0
temp | CRR215484.merged	451.400469095	3.20199365465	96.7980063454	95503.0	43110099.0	253-475	95503.0	52.0
temp | CRR215485.merged	453.004170818	2.19480747817	97.8051925218	102378.0	46377661.0	262-475	102378.0	53.0
temp | CRR215486.merged	456.485372401	3.85595341007	96.1440465899	87916.0	40132368.0	244-476	87916.0	52.0
temp | CRR215487.merged	450.885333007	3.31314537213	96.6868546279	106334.0	47944441.0	246-475	106334.0	52.0
temp | CRR215488.merged	453.888714096	3.70229732295	96.297702677	73738.0	33468846.0	273-475	73738.0	51.0
temp | CRR215489.merged	455.923340329	3.79511132853	96.2048886715	63371.0	28892318.0	244-475	63371.0	51.0
temp | CRR215490.merged	450.376494496	3.40352320754	96.5964767925	80211.0	36125149.0	244-475	80211.0	52.0
temp | CRR215491.merged	453.551798814	4.49898548463	95.5010145154	51256.0	23247251.0	246-475	51256.0	52.0
temp | CRR215492.merged	456.100229507	2.75979401455	97.2402059855	87579.0	39944802.0	249-476	87579.0	53.0
temp | CRR215493.merged	454.341598535	3.08567514036	96.9143248596	67149.0	30508584.0	246-475	67149.0	51.0
temp | CRR215494.merged	457.049164833	3.41402855369	96.5859714463	70884.0	32397473.0	249-475	70884.0	51.0
temp | CRR215495.merged	460.536588174	3.55230583223	96.4476941678	69476.0	31996240.0	248-475	69476.0	50.0
temp | CRR215496.merged	453.839075773	2.73615358478	97.2638464152	117720.0	53425936.0	248-475	117720.0	53.0
temp | CRR215497.merged	459.442950814	3.97800953407	96.0219904659	54751.0	25154961.0	248-475	54751.0	52.0
temp | CRR215498.merged	463.427262667	3.03709762787	96.9629023721	103915.0	48157044.0	243-476	103915.0	51.0
temp | CRR215499.merged	459.234389813	4.08395443474	95.9160455653	68561.0	31485569.0	248-476	68561.0	53.0
temp | CRR215500.merged	457.308164069	4.7347099533	95.2652900467	35546.0	16255476.0	245-475	35546.0	51.0
temp | CRR215501.merged	452.519093025	3.13057821362	96.8694217864	88514.0	40054275.0	246-475	88514.0	52.0
temp | CRR215502.merged	451.975677808	3.73694983476	96.2630501652	87451.0	39525725.0	251-475	87451.0	52.0
temp | CRR215503.merged	452.851074422	3.26430657033	96.7356934297	74319.0	33655439.0	245-475	74319.0	52.0
temp | CRR215504.merged	452.725184799	3.60141277286	96.3985872271	51813.0	23457050.0	245-475	51813.0	52.0
temp | CRR215505.merged	452.289449007	3.18263192293	96.8173680771	70382.0	31833036.0	245-475	70382.0	52.0
temp | CRR215506.merged	458.072242431	3.68968653044	96.3103134696	74776.0	34252810.0	244-475	74776.0	52.0
temp | CRR215507.merged	455.65964028	3.22774659182	96.7722534082	69832.0	31819624.0	244-475	69832.0	53.0
temp | CRR215508.merged	453.816276239	2.84433360055	97.1556663995	101043.0	45854958.0	244-475	101043.0	52.0
temp | CRR215509.merged	458.519648161	3.34846927119	96.6515307288	70032.0	32111048.0	268-476	70032.0	52.0
temp | CRR215510.merged	454.435712907	3.47545242316	96.5245475768	56971.0	25889657.0	309-475	56971.0	51.0
temp | CRR215511.merged	452.102763481	2.48403985067	97.5159601493	90538.0	40932480.0	247-475	90538.0	52.0
temp | CRR215512.merged	461.417063447	3.41688590474	96.5831140953	61957.0	28588017.0	246-475	61957.0	53.0
temp | CRR215513.merged	452.017478359	3.46642751306	96.5335724869	102584.0	46369761.0	246-475	102584.0	52.0
temp | CRR215514.merged	455.681094844	3.53712169435	96.4628783057	69124.0	31498500.0	253-475	69124.0	51.0
temp | CRR215515.merged	454.437430385	3.52389173535	96.4761082646	71824.0	32639514.0	244-475	71824.0	51.0
temp | CRR215516.merged	451.231572298	2.53065044455	97.4693495555	213700.0	96428187.0	245-476	213700.0	52.0
temp | CRR215517.merged	457.86155947	3.35513191163	96.6448680884	93737.0	42918569.0	245-476	93737.0	52.0
temp | CRR215518.merged	453.550475144	2.39243589131	97.6075641087	83764.0	37991202.0	268-475	83764.0	53.0
temp | CRR215519.merged	455.382042556	4.10436217387	95.8956378261	58182.0	26495038.0	242-475	58182.0	51.0
temp | CRR215520.merged	459.077796186	3.30877601137	96.6912239886	85107.0	39070734.0	248-475	85107.0	50.0
temp | CRR215521.merged	453.123164372	3.49721652505	96.5027834749	85325.0	38662734.0	243-476	85325.0	52.0
temp | CRR215522.merged	453.708578783	3.69235259778	96.3076474022	75372.0	34196923.0	253-475	75372.0	52.0
temp | CRR215523.merged	451.834388712	3.97672035524	96.0232796448	76118.0	34392730.0	244-475	76118.0	53.0
temp | CRR215524.merged	461.929502069	3.23183566814	96.7681643319	55108.0	25456011.0	248-475	55108.0	53.0
temp | CRR215525.merged	460.284596636	3.13480468066	96.8651953193	74263.0	34182115.0	245-476	74263.0	53.0
temp | CRR215526.merged	454.11410395	4.19200359515	95.8079964048	71207.0	32336103.0	246-475	71207.0	52.0
temp | CRR215527.merged	467.127648268	1.91530161957	98.0846983804	86566.0	40437372.0	254-476	86566.0	53.0
temp | CRR215528.merged	454.974372406	2.89927537957	97.1007246204	125997.0	57325406.0	246-475	125997.0	51.0
temp | CRR215529.merged	451.904931723	2.85204831368	97.1479516863	111604.0	50434398.0	244-475	111604.0	52.0
temp | CRR215530.merged	460.444248662	2.96966364014	97.0303363599	89101.0	41026043.0	245-475	89101.0	52.0
temp | CRR215531.merged	459.69402905	3.49010402393	96.5098959761	83923.0	38578902.0	245-475	83923.0	53.0
temp | CRR215532.merged	457.467521594	2.95837239425	97.0416276058	139739.0	63926054.0	245-476	139739.0	52.0
temp | CRR215533.merged	452.917592736	4.26594993194	95.7340500681	58041.0	26287790.0	254-476	58041.0	53.0
temp | CRR215534.merged	457.521911482	3.89325559536	96.1067444046	73409.0	33586226.0	247-475	73409.0	52.0
temp | CRR215535.merged	459.367540541	3.72875302731	96.2712469727	89601.0	41159791.0	249-475	89601.0	52.0
temp | CRR215536.merged	453.811950953	3.80749525071	96.1925047493	86855.0	39415837.0	243-476	86855.0	52.0
temp | CRR215537.merged	464.638632021	3.49462956048	96.5053704395	45527.0	21153603.0	260-475	45527.0	53.0
temp | CRR215538.merged	456.819888252	3.64642296315	96.3535770368	54766.0	25018198.0	260-476	54766.0	54.0
temp | CRR215539.merged	464.064988866	3.18599703917	96.8140029608	80383.0	37302936.0	245-476	80383.0	55.0
temp | CRR215540.merged	455.330291731	3.68225866756	96.3177413324	98961.0	45059941.0	246-476	98961.0	51.0
temp | CRR215541.merged	456.494939486	3.28520536957	96.7147946304	84774.0	38698902.0	247-476	84774.0	51.0
temp | CRR215542.merged	456.538844976	3.98597165848	96.0140283415	56172.0	25644700.0	244-475	56172.0	52.0
temp | CRR215543.merged	454.569401268	3.25003027979	96.7499697202	99076.0	45036918.0	246-476	99076.0	51.0
temp | CRR215544.merged	457.545843835	3.37945578931	96.6205442107	77764.0	35580595.0	260-476	77764.0	54.0
temp | CRR215545.merged	454.012467674	3.27752824282	96.7224717572	73470.0	33356296.0	243-475	73470.0	52.0
temp | CRR215546.merged	457.016336436	3.1834784349	96.8165215651	79944.0	36535714.0	251-475	79944.0	50.0
temp | CRR215547.merged	456.577063315	2.57950125829	97.4204987417	139872.0	63862347.0	245-475	139872.0	51.0
temp | CRR215548.merged	453.168866753	3.40120314669	96.5987968533	82118.0	37213321.0	244-475	82118.0	51.0
temp | CRR215549.merged	464.276104052	2.74204501836	97.2579549816	101603.0	47171845.0	245-476	101603.0	52.0
temp | CRR215550.merged	456.733371316	2.50687043368	97.4931295663	89514.0	40884031.0	248-475	89514.0	52.0
temp | CRR215551.merged	453.521515186	3.30710457293	96.6928954271	52614.0	23861581.0	295-475	52614.0	53.0
temp | CRR215552.merged	456.141948948	3.70685503291	96.2931449671	62290.0	28413082.0	248-475	62290.0	51.0
temp | CRR215553.merged	452.715494726	3.97538925163	96.0246107484	39820.0	18027131.0	246-475	39820.0	51.0
temp | CRR215554.merged	461.621680304	3.84008039047	96.1599196095	55728.0	25725253.0	245-475	55728.0	53.0
temp | CRR215555.merged	456.040742008	3.35076742595	96.6492325741	81832.0	37318726.0	253-475	81832.0	52.0
temp | CRR215556.merged	456.244891525	2.753547031	97.246452969	66605.0	30388191.0	251-476	66605.0	53.0
temp | CRR215557.merged	452.775717099	3.35444272968	96.6455572703	112746.0	51048651.0	295-561	112746.0	51.0
temp | CRR215558.merged	452.173448191	2.98188532585	97.0181146742	134311.0	60731868.0	246-476	134311.0	52.0
temp | CRR215559.merged	460.289647332	3.11873021535	96.8812697847	89716.0	41295346.0	248-475	89716.0	52.0
temp | CRR215560.merged	456.131835625	4.93550794158	95.0644920584	37524.0	17115891.0	247-475	37524.0	52.0
temp | CRR215561.merged	451.728812881	2.45724572457	97.5427542754	99990.0	45168364.0	246-475	99990.0	53.0
temp | CRR215562.merged	456.920543834	2.76783632253	97.2321636775	98633.0	45067444.0	246-475	98633.0	52.0
temp | CRR215563.merged	453.466597044	3.00800658249	96.9919934175	63198.0	28658182.0	244-475	63198.0	53.0
temp | CRR215564.merged	453.617305668	3.3036154533	96.6963845467	75039.0	34038989.0	245-476	75039.0	52.0
temp | CRR215565.merged	455.925970369	3.39169829803	96.608301702	81670.0	37235474.0	262-475	81670.0	52.0
temp | CRR215566.merged	454.764116616	2.41407564691	97.5859243531	113501.0	51616182.0	245-476	113501.0	53.0
temp | CRR215567.merged	464.867013434	4.37827653997	95.62172346	24416.0	11350193.0	244-475	24416.0	52.0
temp | CRR215568.merged	455.521884773	3.62718029912	96.3728197009	76423.0	34812349.0	245-475	76423.0	51.0
temp | CRR215569.merged	458.268869492	3.4753597853	96.5246402147	81229.0	37224722.0	248-476	81229.0	51.0
temp | CRR215570.merged	460.637686353	3.31493692661	96.6850630734	83712.0	38560902.0	243-475	83712.0	55.0
temp | CRR215571.merged	464.176919959	3.56838905775	96.4316109422	49350.0	22907131.0	255-475	49350.0	51.0
temp | CRR215572.merged	455.976356236	2.44444938722	97.5555506128	89918.0	41000482.0	246-475	89918.0	51.0
temp | CRR215573.merged	458.424195765	3.43548734251	96.5645126575	60399.0	27688363.0	244-476	60399.0	52.0
temp | CRR215574.merged	453.050052972	2.41436221199	97.585637788	138753.0	62862054.0	244-476	138753.0	52.0
temp | CRR215575.merged	457.737723991	4.17241733298	95.827582667	87671.0	40130324.0	252-476	87671.0	51.0
temp | CRR215576.merged	452.668303163	2.17485040812	97.8251495919	132193.0	59839581.0	246-476	132193.0	52.0
temp | CRR215577.merged	461.502747145	3.29068717868	96.7093128213	50962.0	23519103.0	246-475	50962.0	51.0
temp | CRR215578.merged	455.460589782	3.10641110377	96.8935888962	71111.0	32388258.0	255-475	71111.0	52.0
temp | CRR215579.merged	453.676445962	3.34063291683	96.6593670832	93156.0	42262683.0	246-476	93156.0	52.0
temp | CRR215580.merged	455.181541373	3.21278398034	96.7872160197	131039.0	59646534.0	243-476	131039.0	52.0
temp | CRR215581.merged	456.68907921	3.40962510283	96.5903748972	68072.0	31087739.0	249-476	68072.0	51.0
temp | CRR215582.merged	451.748441486	3.07746872741	96.9225312726	73307.0	33116323.0	247-476	73307.0	52.0
temp | CRR215583.merged	457.399877948	4.2737903067	95.7262096933	50798.0	23234999.0	251-475	50798.0	53.0
temp | CRR215584.merged	451.048366692	3.53431527583	96.4656847242	88532.0	39932214.0	243-476	88532.0	52.0
temp | CRR215585.merged	456.356557539	2.33196429982	97.6680357002	101288.0	46223443.0	243-476	101288.0	51.0
temp | CRR215586.merged	453.716182237	6.35015342653	93.6498465735	46928.0	21291993.0	245-475	46928.0	51.0
temp | CRR215587.merged	452.560699972	2.22209602311	97.7779039769	123262.0	55783537.0	246-475	123262.0	53.0
temp | CRR215588.merged	452.007185187	2.71765394104	97.282346059	78634.0	35543133.0	245-475	78634.0	53.0
temp | CRR215589.merged	457.676280342	3.3153270118	96.6846729882	86266.0	39481902.0	245-476	86266.0	51.0
temp | CRR215590.merged	451.432082098	2.51575111032	97.4842488897	135546.0	61189813.0	245-476	135546.0	52.0
temp | CRR215591.merged	452.536326682	4.42605699193	95.5739430081	48463.0	21931268.0	249-475	48463.0	52.0
temp | CRR215592.merged	455.170050916	3.38763007891	96.6123699211	49297.0	22438518.0	243-475	49297.0	52.0
temp | CRR215593.merged	454.550032182	4.02917828792	95.9708217121	46610.0	21186577.0	245-475	46610.0	51.0
temp | CRR215594.merged	451.997369374	4.84614456377	95.1538554362	41435.0	18728511.0	245-475	41435.0	52.0
temp | CRR215595.merged	455.062142756	2.67521488473	97.3247851153	162529.0	73960795.0	245-476	162529.0	51.0
temp | CRR215596.merged	449.858774283	3.39754531415	96.6024546858	49212.0	22138450.0	248-475	49212.0	53.0
temp | CRR215597.merged	452.795442815	2.66993252438	97.3300674756	106557.0	48248524.0	248-475	106557.0	52.0
temp | CRR215598.merged	454.488376551	3.67001254705	96.3299874529	57384.0	26080361.0	253-475	57384.0	52.0
temp | CRR215599.merged	465.680296043	3.39916737921	96.6008326208	71341.0	33222098.0	246-476	71341.0	52.0
temp | CRR215600.merged	458.429827606	3.15336636059	96.8466336394	95073.0	43584299.0	245-475	95073.0	51.0
temp | CRR215601.merged	451.291626769	5.67081604426	94.3291839557	18798.0	8483380.0	296-573	18798.0	51.0
temp | CRR215602.merged	455.713006284	3.44135590111	96.5586440989	87204.0	39739997.0	243-475	87204.0	52.0
temp | CRR215603.merged	448.768074153	2.9256804698	97.0743195302	66241.0	29726846.0	246-476	66241.0	52.0
temp | CRR215604.merged	458.799177179	3.6834859448	96.3165140552	62468.0	28660267.0	246-475	62468.0	50.0
temp | CRR215605.merged	455.233298841	3.86589403974	96.1341059603	48320.0	21996873.0	252-475	48320.0	53.0
temp | CRR215606.merged	457.166962981	3.5592951821	96.4407048179	56809.0	25971198.0	274-474	56809.0	51.0
temp | CRR215607.merged	459.135488952	3.88905445102	96.110945549	46978.0	21569267.0	245-475	46978.0	51.0
temp | CRR215608.merged	455.687970154	2.80341099437	97.1965890056	131340.0	59850058.0	244-476	131340.0	52.0
temp | CRR215609.merged	448.933490792	4.73745464503	95.262545355	29214.0	13115143.0	262-474	29214.0	53.0
temp | CRR215610.merged	454.112599539	2.69405373223	97.3059462678	67185.0	30509555.0	245-475	67185.0	53.0
temp | CRR215611.merged	459.901941917	3.08199206905	96.918007931	68592.0	31545594.0	246-475	68592.0	53.0
temp | CRR215612.merged	451.546975796	2.6436966672	97.3563033328	93165.0	42068374.0	243-476	93165.0	53.0
temp | CRR215613.merged	453.798100062	3.54804409872	96.4519559013	71476.0	32435673.0	249-475	71476.0	52.0
temp | CRR215614.merged	459.017190214	3.19598484745	96.8040151526	73123.0	33564714.0	246-476	73123.0	52.0
temp | CRR215615.merged	453.719149776	2.37892507061	97.6210749294	96304.0	43694969.0	248-475	96304.0	52.0
temp | CRR215616.merged	460.954678929	3.26556953856	96.7344304614	61980.0	28569971.0	243-476	61980.0	51.0
temp | CRR215617.merged	453.494337607	6.30341880342	93.6965811966	9360.0	4244707.0	296-572	9360.0	50.0
temp | CRR215618.merged	451.581748166	3.50320402676	96.4967959732	98938.0	44678595.0	245-475	98938.0	52.0
temp | CRR215619.merged	459.75345431	3.81723914452	96.1827608555	77150.0	35469979.0	246-476	77150.0	51.0
temp | CRR215620.merged	455.419134696	3.08473765985	96.9152623401	83670.0	38104919.0	296-512	83670.0	53.0
temp | CRR215621.merged	454.259412281	4.84945514641	95.1505448536	58089.0	26387475.0	246-475	58089.0	52.0
temp | CRR215622.merged	458.111395593	3.12801678909	96.8719832109	95300.0	43658016.0	269-475	95300.0	53.0
temp | CRR215623.merged	468.722738133	4.01658928008	95.9834107199	44366.0	20795353.0	253-475	44366.0	53.0
temp | CRR215624.merged	456.007617906	3.5968691451	96.4031308549	105147.0	47947833.0	246-475	105147.0	51.0
temp | CRR215625.merged	460.467537023	2.89936093481	97.1006390652	91227.0	42007072.0	243-476	91227.0	53.0
temp | CRR215626.merged	457.760277234	3.04216708111	96.9578329189	37802.0	17304254.0	243-475	37802.0	53.0
temp | CRR215627.merged	451.148716637	3.60023876524	96.3997612348	58635.0	26453105.0	255-475	58635.0	53.0
temp | CRR215628.merged	458.212134533	2.47904314046	97.5209568595	97820.0	44822311.0	253-476	97820.0	53.0
temp | CRR215629.merged	456.305422072	3.15546790367	96.8445320963	72002.0	32854903.0	259-475	72002.0	53.0
temp | CRR215630.merged	454.946537689	4.21048085851	95.7895191415	46313.0	21069939.0	273-475	46313.0	51.0
temp | CRR215631.merged	469.201627688	2.61990882965	97.3800911703	80728.0	37877709.0	255-475	80728.0	53.0
temp | CRR215632.merged	462.003278522	2.90166123063	97.0983387694	59173.0	27338120.0	246-475	59173.0	53.0
temp | CRR215633.merged	459.69049686	3.0894142879	96.9105857121	39166.0	18004238.0	291-476	39166.0	51.0
temp | CRR215634.merged	451.772663352	3.16482305696	96.835176943	68977.0	31161923.0	252-475	68977.0	52.0
temp | CRR215635.merged	457.784336189	3.49285286536	96.5071471346	76814.0	35164246.0	245-476	76814.0	51.0
temp | CRR215636.merged	454.667513881	4.36771721279	95.6322827872	25574.0	11627667.0	243-475	25574.0	53.0
temp | CRR215637.merged	455.035218401	3.03228529226	96.9677147077	94780.0	43128238.0	245-475	94780.0	51.0
temp | CRR215638.merged	456.763233327	3.34655073572	96.6534492643	83728.0	38243872.0	244-476	83728.0	51.0
temp | CRR215639.merged	449.829178469	1.87172002188	98.1282799781	184643.0	83057809.0	266-476	184643.0	53.0
temp | CRR215640.merged	457.089050121	2.84741354233	97.1525864577	116878.0	53423654.0	243-476	116878.0	53.0
temp | CRR215641.merged	461.890981489	4.50925527335	95.4907447266	18584.0	8583782.0	299-574	18584.0	50.0
temp | CRR215642.merged	453.0612812	3.71261365645	96.2873863436	101842.0	46140667.0	245-475	101842.0	53.0
temp | CRR215643.merged	453.753353465	3.13508469524	96.8649153048	77159.0	35011155.0	246-475	77159.0	54.0
temp | CRR215644.merged	454.170943751	3.19044602905	96.8095539709	97886.0	44456977.0	245-476	97886.0	52.0
temp | CRR215645.merged	452.900727469	3.23707868738	96.7629213126	157395.0	71284310.0	246-476	157395.0	52.0
temp | CRR215646.merged	453.439147172	8.52827953805	91.4717204619	6754.0	3062528.0	306-576	6754.0	51.0
temp | CRR215647.merged	453.212922054	3.30185237729	96.6981476227	123355.0	55906080.0	245-475	123355.0	53.0
temp | CRR215648.merged	455.559024341	3.72582241533	96.2741775847	59611.0	27156329.0	260-475	59611.0	51.0
temp | CRR215649.merged	463.434006058	3.712056364	96.287943636	60748.0	28152689.0	255-475	60748.0	51.0
temp | CRR215650.merged	458.081671514	3.54521534414	96.4547846559	57768.0	26462462.0	270-475	57768.0	52.0
temp | CRR215651.merged	457.826735318	4.62589660142	95.3741033986	61761.0	28275837.0	243-476	61761.0	54.0
temp | CRR215652.merged	456.386049908	4.0432467093	95.9567532907	56143.0	25622882.0	244-475	56143.0	52.0
temp | CRR215653.merged	459.234327845	4.92990029415	95.0700997058	52354.0	24042754.0	246-533	52354.0	51.0
temp | CRR215654.merged	459.259563227	3.68403209402	96.315967906	70792.0	32511903.0	248-476	70792.0	51.0
temp | CRR215655.merged	462.087975874	3.29859489465	96.7014051053	74941.0	34629335.0	245-475	74941.0	51.0
temp | CRR215656.merged	454.183811396	3.0067090221	96.9932909779	101207.0	45966581.0	246-475	101207.0	51.0
temp | CRR215657.merged	450.221769762	3.12328283225	96.8767171678	101912.0	45883001.0	243-476	101912.0	52.0
temp | CRR215658.merged	452.448094323	2.68251772225	97.3174822778	81677.0	36954603.0	246-475	81677.0	52.0
temp | CRR215659.merged	464.60783351	3.73357002568	96.2664299743	52952.0	24601914.0	246-475	52952.0	52.0
temp | CRR215660.merged	457.843788316	4.65332436815	95.3466756318	50566.0	23151329.0	247-475	50566.0	52.0
temp | CRR215661.merged	453.003860163	2.97075230823	97.0292476918	82639.0	37435786.0	244-475	82639.0	53.0
temp | CRR215662.merged	455.174818799	3.1542865057	96.8457134943	86644.0	39438167.0	262-475	86644.0	51.0
temp | CRR215663.merged	457.246727725	4.20798326903	95.792016731	55466.0	25361647.0	244-476	55466.0	52.0
temp | CRR215664.merged	455.10883475	2.3969782814	97.6030217186	132375.0	60245032.0	249-476	132375.0	51.0
temp | CRR215665.merged	456.979748067	3.73664643042	96.2633535696	63747.0	29131088.0	246-475	63747.0	52.0
temp | CRR215666.merged	451.317996586	3.07147970703	96.928520293	72636.0	32781934.0	249-475	72636.0	52.0
temp | CRR215667.merged	458.056461935	4.47185030171	95.5281496983	49219.0	22545081.0	247-475	49219.0	51.0
temp | CRR215668.merged	452.978324737	6.58745185088	93.4125481491	15317.0	6938269.0	309-529	15317.0	51.0
temp | CRR215669.merged	451.591681218	2.01469025205	97.985309748	105376.0	47586925.0	244-476	105376.0	53.0
temp | CRR215670.merged	452.014525391	8.08467514919	91.9153248508	8881.0	4014341.0	310-572	8881.0	52.0
temp | CRR215671.merged	461.221801334	5.10283943274	94.8971605673	31943.0	14732808.0	260-475	31943.0	53.0
temp | CRR215672.merged	452.139083638	2.84758566209	97.1524143379	81016.0	36630500.0	245-476	81016.0	52.0
temp | CRR215673.merged	461.221895665	6.26010286554	93.7398971345	6805.0	3138615.0	312-539	6805.0	49.0
temp | CRR215674.merged	453.539674081	2.90747865753	97.0925213425	93827.0	42554267.0	244-476	93827.0	52.0
temp | CRR215675.merged	452.557956465	2.40322225215	97.5967777479	81682.0	36965839.0	249-475	81682.0	52.0
