Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR215085.merged	95.6421562786	52.0	452.956355354	75519.0
temp | CRR215086.merged	95.4585793109	51.0	460.847397461	51834.0
temp | CRR215087.merged	96.593460365	52.0	457.669621783	69484.0
temp | CRR215088.merged	94.8361090485	52.0	456.350100774	47135.0
temp | CRR215089.merged	95.2068669528	51.0	454.940772532	58250.0
temp | CRR215090.merged	96.6509513386	51.0	456.552752989	59390.0
temp | CRR215091.merged	96.241378583	53.0	454.364535656	47411.0
temp | CRR215092.merged	97.0869942593	52.0	460.243242832	65671.0
temp | CRR215093.merged	93.5587436295	52.0	453.255988864	44541.0
temp | CRR215094.merged	96.5607737341	53.0	451.476793481	54489.0
temp | CRR215095.merged	95.3776700959	51.0	455.332260721	105661.0
temp | CRR215096.merged	96.9273102499	52.0	451.141042641	100303.0
temp | CRR215097.merged	95.2226200669	53.0	455.701759166	51388.0
temp | CRR215098.merged	97.0026659759	52.0	455.377489234	92649.0
temp | CRR215099.merged	96.4979640748	52.0	458.28018733	81781.0
temp | CRR215100.merged	95.9454801817	53.0	453.700297666	63830.0
temp | CRR215101.merged	96.912057183	53.0	455.309841042	66873.0
temp | CRR215102.merged	96.4577025529	52.0	455.194652636	60441.0
temp | CRR215103.merged	96.8607506138	54.0	455.672152821	74126.0
temp | CRR215104.merged	96.7912719892	52.0	450.354989851	59120.0
temp | CRR215105.merged	96.3148200105	52.0	455.020530149	81977.0
temp | CRR215106.merged	94.9909964398	52.0	453.233570221	72749.0
temp | CRR215107.merged	96.3477576711	52.0	454.464264359	63550.0
temp | CRR215108.merged	95.4986784986	52.0	455.832984128	73023.0
temp | CRR215109.merged	95.4306668054	53.0	458.261416831	38452.0
temp | CRR215110.merged	96.0525028534	53.0	457.314381216	61330.0
temp | CRR215111.merged	94.8630898552	52.0	453.534950262	67453.0
temp | CRR215112.merged	94.0433740574	53.0	455.41012451	34214.0
temp | CRR215113.merged	95.4338755003	53.0	455.93800562	58715.0
temp | CRR215114.merged	95.0717070205	52.0	451.631987411	27961.0
temp | CRR215115.merged	96.0279883382	51.0	457.477317784	42875.0
temp | CRR215116.merged	96.2069571328	52.0	456.13056922	56920.0
temp | CRR215117.merged	96.1183234904	52.0	460.859302235	76874.0
temp | CRR215118.merged	96.7504164353	52.0	455.479025541	72040.0
temp | CRR215119.merged	95.8733899812	50.0	460.662841903	48369.0
temp | CRR215120.merged	94.7221788262	52.0	459.824819039	38406.0
temp | CRR215121.merged	96.9299782715	52.0	453.022765823	71335.0
temp | CRR215122.merged	97.0266969707	50.0	462.747175956	58958.0
temp | CRR215123.merged	97.1234711851	52.0	453.88105634	80618.0
temp | CRR215124.merged	96.6024586197	52.0	458.102623173	51655.0
temp | CRR215125.merged	96.0693717925	52.0	455.184303889	60601.0
temp | CRR215126.merged	96.0399916467	54.0	459.085935053	38308.0
temp | CRR215127.merged	96.2154233026	53.0	459.646626153	47720.0
temp | CRR215128.merged	96.4525856418	52.0	454.341686801	53391.0
temp | CRR215129.merged	96.4818009559	53.0	453.378036709	70718.0
temp | CRR215130.merged	96.1556246847	52.0	453.742748445	47576.0
temp | CRR215131.merged	96.7755573261	52.0	456.810517244	122998.0
temp | CRR215132.merged	95.2908477268	52.0	454.764979154	50370.0
temp | CRR215133.merged	97.4506905529	51.0	453.222344791	90652.0
temp | CRR215134.merged	97.312415038	49.0	461.378958394	89746.0
temp | CRR215135.merged	96.309464958	51.0	454.300927862	52594.0
temp | CRR215136.merged	97.1727010574	52.0	454.278577379	78025.0
temp | CRR215137.merged	95.3735837501	53.0	459.538072879	39188.0
temp | CRR215138.merged	95.6583683263	51.0	459.014284643	53344.0
temp | CRR215139.merged	96.0889365122	51.0	458.377605143	37330.0
temp | CRR215140.merged	96.2636868416	52.0	458.287004203	57811.0
temp | CRR215141.merged	96.607743312	52.0	456.722367017	74051.0
temp | CRR215142.merged	96.1175610365	52.0	455.709343178	56073.0
temp | CRR215143.merged	96.164033677	52.0	452.077357866	42284.0
temp | CRR215144.merged	96.7867006586	53.0	454.804900503	56484.0
temp | CRR215145.merged	96.2086365509	51.0	458.639520115	58264.0
temp | CRR215146.merged	96.5592758419	53.0	448.997834339	41096.0
temp | CRR215147.merged	97.0592795965	51.0	454.422828893	109633.0
temp | CRR215148.merged	96.0715343602	52.0	453.334049171	54016.0
temp | CRR215149.merged	96.7075048191	51.0	455.392162697	77297.0
temp | CRR215150.merged	96.3754795889	52.0	452.162289197	81059.0
temp | CRR215151.merged	95.628724181	51.0	457.210438305	42459.0
temp | CRR215152.merged	95.925274491	53.0	460.819635433	37524.0
temp | CRR215153.merged	96.0	52.0	460.222224543	47875.0
temp | CRR215154.merged	96.2982926172	52.0	459.650533458	63079.0
temp | CRR215155.merged	96.6113850291	51.0	460.222217242	66930.0
temp | CRR215156.merged	96.3685835383	50.0	465.045445032	38222.0
temp | CRR215157.merged	95.7590526271	52.0	458.0618614	46782.0
temp | CRR215158.merged	97.056228125	50.0	458.833873702	100857.0
temp | CRR215159.merged	95.9908383653	51.0	453.756402733	52829.0
temp | CRR215160.merged	97.2238099931	51.0	462.069596925	101470.0
temp | CRR215161.merged	96.9100786362	54.0	463.405501531	66636.0
temp | CRR215162.merged	96.733664842	51.0	457.423773906	71793.0
temp | CRR215163.merged	95.6457745615	52.0	458.307021079	57071.0
temp | CRR215164.merged	97.3956615302	52.0	451.594623251	127326.0
temp | CRR215165.merged	96.5685340625	53.0	453.857474253	89233.0
temp | CRR215166.merged	96.487859351	51.0	457.365703858	73431.0
temp | CRR215167.merged	97.6452905812	52.0	451.35210251	117764.0
temp | CRR215168.merged	96.0022061702	53.0	461.518912572	56206.0
temp | CRR215169.merged	96.2683816755	51.0	452.920042015	54266.0
temp | CRR215170.merged	96.5111642743	52.0	454.145861814	70224.0
temp | CRR215171.merged	95.8876793163	52.0	452.898239902	49145.0
temp | CRR215172.merged	95.9363725812	52.0	453.918579862	60980.0
temp | CRR215173.merged	96.4495148737	51.0	454.781059341	84411.0
temp | CRR215174.merged	95.8555274381	52.0	453.969491585	56509.0
temp | CRR215175.merged	96.5583544492	52.0	453.07662841	67090.0
temp | CRR215176.merged	97.1528174515	50.0	457.252771981	85769.0
temp | CRR215177.merged	96.2495007043	51.0	454.627956356	47567.0
temp | CRR215178.merged	97.3412223831	53.0	464.942682697	79435.0
temp | CRR215179.merged	96.338270134	52.0	454.335429973	72179.0
temp | CRR215180.merged	96.5737483801	52.0	459.378276163	75622.0
temp | CRR215181.merged	96.4285258252	51.0	458.448381536	78315.0
temp | CRR215182.merged	95.7686432757	51.0	456.289879853	43863.0
temp | CRR215183.merged	97.5262878254	55.0	467.049795505	80931.0
temp | CRR215184.merged	96.3356314209	51.0	456.733537496	66287.0
temp | CRR215185.merged	95.9090909091	51.0	456.101837524	41360.0
temp | CRR215186.merged	96.1928772695	52.0	454.178301307	47201.0
temp | CRR215187.merged	95.9489693099	52.0	455.551466193	58553.0
temp | CRR215188.merged	96.5442892164	52.0	455.997686347	101571.0
temp | CRR215189.merged	96.5150408774	52.0	451.988388242	69843.0
temp | CRR215190.merged	96.9167347154	52.0	453.627624266	75926.0
temp | CRR215191.merged	97.0472460365	52.0	453.936712607	101363.0
temp | CRR215192.merged	96.376230924	51.0	458.583186424	56157.0
temp | CRR215193.merged	96.835036407	51.0	458.022716148	65372.0
temp | CRR215194.merged	96.3296859588	51.0	454.24295185	43593.0
temp | CRR215195.merged	95.7937098597	51.0	455.884478624	36279.0
temp | CRR215196.merged	97.0652048323	51.0	456.314996213	77893.0
temp | CRR215197.merged	94.8646027211	51.0	455.785566362	38147.0
temp | CRR215198.merged	97.1058852806	51.0	458.086810999	80370.0
temp | CRR215199.merged	96.4143029609	51.0	453.276811829	80347.0
temp | CRR215200.merged	95.4786989538	52.0	455.856252413	54387.0
temp | CRR215201.merged	95.83891099	51.0	455.006165275	53039.0
temp | CRR215202.merged	96.5135854316	51.0	464.841717503	55243.0
temp | CRR215203.merged	96.2203206386	52.0	457.058614625	59132.0
temp | CRR215204.merged	96.8491960017	50.0	462.114684437	41418.0
temp | CRR215205.merged	95.5157354464	53.0	453.515255204	66633.0
temp | CRR215206.merged	96.6003298754	51.0	455.015571422	92156.0
temp | CRR215207.merged	96.8859965235	49.0	459.876870734	94348.0
temp | CRR215208.merged	95.4366730764	52.0	458.261286342	34843.0
temp | CRR215209.merged	96.0060935223	52.0	451.491985693	30196.0
temp | CRR215210.merged	96.309650053	51.0	454.063838812	75440.0
temp | CRR215211.merged	96.4080239337	51.0	456.9227332	52144.0
temp | CRR215212.merged	96.8206819297	52.0	453.693232307	79451.0
temp | CRR215213.merged	94.7309157145	52.0	457.344461003	30195.0
temp | CRR215214.merged	95.3221378976	52.0	452.961488778	61930.0
temp | CRR215215.merged	95.9843039955	52.0	454.881781038	74159.0
temp | CRR215216.merged	96.3137491998	51.0	455.860516395	56236.0
temp | CRR215217.merged	95.1297566223	53.0	462.193518892	37185.0
temp | CRR215218.merged	95.6934018175	51.0	456.192537535	40496.0
temp | CRR215219.merged	96.4119862651	52.0	449.289597483	66109.0
temp | CRR215220.merged	95.7629612193	52.0	453.96997293	67972.0
temp | CRR215221.merged	95.8571084144	52.0	452.913338155	74658.0
temp | CRR215222.merged	96.1454028926	52.0	452.933034177	92928.0
temp | CRR215223.merged	95.9147665581	51.0	454.50238483	51576.0
temp | CRR215224.merged	97.1433837081	51.0	457.372546535	86816.0
temp | CRR215225.merged	95.5523562722	52.0	455.852826567	52095.0
temp | CRR215226.merged	96.1871551196	52.0	456.49202943	52192.0
temp | CRR215227.merged	96.0162479815	52.0	456.176630209	60069.0
temp | CRR215228.merged	97.0404316319	51.0	457.196480574	88594.0
temp | CRR215229.merged	97.1568971569	51.0	461.884414058	65527.0
temp | CRR215230.merged	96.0815062384	52.0	457.077938625	102029.0
temp | CRR215231.merged	96.2333460221	51.0	456.037590407	52540.0
temp | CRR215232.merged	96.7209398186	53.0	451.254204452	97040.0
temp | CRR215233.merged	95.5381751799	52.0	456.35954111	55874.0
temp | CRR215234.merged	95.6605229964	52.0	455.258730727	53117.0
temp | CRR215235.merged	96.4027557295	52.0	458.534253965	64883.0
temp | CRR215236.merged	97.0960187354	52.0	457.093813072	117425.0
temp | CRR215237.merged	96.6992138421	52.0	458.583165811	111428.0
temp | CRR215238.merged	95.0927389171	51.0	454.403227148	48092.0
temp | CRR215239.merged	95.5363819385	51.0	453.616681047	52155.0
temp | CRR215240.merged	96.129919109	52.0	453.517773117	56743.0
temp | CRR215241.merged	96.8321496781	52.0	453.83952608	87441.0
temp | CRR215242.merged	96.2784199162	51.0	457.743363394	47238.0
temp | CRR215243.merged	95.8300381048	50.0	458.879574376	41727.0
temp | CRR215244.merged	96.5249672585	51.0	455.872352368	101553.0
temp | CRR215245.merged	95.5207738144	51.0	455.610868501	49004.0
temp | CRR215246.merged	94.8814990885	53.0	452.009853922	43333.0
temp | CRR215247.merged	95.3421820578	52.0	456.202711099	53115.0
temp | CRR215248.merged	97.3767541082	52.0	457.444851838	90003.0
temp | CRR215249.merged	96.5140686369	53.0	455.855489022	77655.0
temp | CRR215250.merged	96.4417087192	51.0	457.92318712	108198.0
temp | CRR215251.merged	96.8975222359	52.0	453.917143626	137503.0
temp | CRR215252.merged	96.1646519974	51.0	457.795011333	84712.0
temp | CRR215253.merged	95.4267182898	52.0	453.434461762	30219.0
temp | CRR215254.merged	96.6891220663	52.0	450.363047932	64424.0
temp | CRR215255.merged	95.6465809072	50.0	455.649266531	44310.0
temp | CRR215256.merged	96.6644402885	52.0	450.131645739	74860.0
temp | CRR215257.merged	95.7279763069	52.0	452.836942248	35791.0
temp | CRR215258.merged	95.4538160344	54.0	459.219943514	62316.0
temp | CRR215259.merged	95.225934596	51.0	457.554657019	42291.0
temp | CRR215260.merged	96.1400391617	52.0	455.774276597	55156.0
temp | CRR215261.merged	96.3219889194	52.0	454.798803482	42958.0
temp | CRR215262.merged	96.1066641847	51.0	455.796798213	107440.0
temp | CRR215263.merged	96.7485697823	51.0	459.511174219	72891.0
temp | CRR215264.merged	95.746125676	51.0	456.705842408	41233.0
temp | CRR215265.merged	97.5772881382	51.0	454.032205	129483.0
temp | CRR215266.merged	95.4231926149	51.0	453.467897521	38564.0
temp | CRR215267.merged	97.056821559	51.0	459.15827014	104309.0
temp | CRR215268.merged	96.0777407787	52.0	454.665247182	31232.0
temp | CRR215269.merged	95.775606543	51.0	456.117334504	45545.0
temp | CRR215270.merged	94.7365952057	52.0	453.598888211	42634.0
temp | CRR215271.merged	97.4799473243	53.0	450.466748474	66824.0
temp | CRR215272.merged	96.0791041517	52.0	457.461446084	64118.0
temp | CRR215273.merged	96.0859109379	53.0	458.757989883	60295.0
temp | CRR215274.merged	96.2855846155	52.0	460.193658619	112373.0
temp | CRR215275.merged	96.1006026613	51.0	454.122352169	67036.0
temp | CRR215276.merged	96.421801411	53.0	455.663334701	102342.0
temp | CRR215277.merged	97.0116340963	52.0	453.445715155	65755.0
temp | CRR215278.merged	96.1615339713	52.0	452.850352891	56533.0
temp | CRR215279.merged	97.2240276622	50.0	462.31203853	153856.0
temp | CRR215280.merged	94.8930152769	51.0	455.978463964	43137.0
temp | CRR215281.merged	96.2750882064	56.0	463.339348719	34578.0
temp | CRR215282.merged	94.185107414	51.0	458.577128089	30955.0
temp | CRR215283.merged	96.1593682699	51.0	457.111055276	69650.0
temp | CRR215284.merged	96.0474169059	51.0	457.417997992	56773.0
temp | CRR215285.merged	97.1326004707	50.0	453.169660679	134268.0
temp | CRR215286.merged	95.6779430745	51.0	458.063175056	58884.0
temp | CRR215287.merged	96.2879663044	53.0	452.24289234	97817.0
temp | CRR215288.merged	96.6401058597	51.0	461.403460576	69526.0
temp | CRR215289.merged	96.2648865751	52.0	456.607204333	71457.0
temp | CRR215290.merged	96.8388172957	52.0	452.569160071	61148.0
temp | CRR215291.merged	95.3288076106	52.0	456.894338229	43308.0
temp | CRR215292.merged	95.4294336119	51.0	453.472539461	43080.0
temp | CRR215293.merged	95.7560200464	51.0	456.151424031	40905.0
temp | CRR215294.merged	97.1157258236	53.0	459.128003861	70451.0
temp | CRR215295.merged	96.5660981968	51.0	458.106751032	73648.0
temp | CRR215296.merged	95.1586044434	51.0	454.935116364	49242.0
temp | CRR215297.merged	97.0637297056	52.0	451.314742481	96517.0
temp | CRR215298.merged	95.3049825803	52.0	454.86926948	36166.0
temp | CRR215299.merged	96.6001695026	52.0	451.513484147	92034.0
temp | CRR215300.merged	96.9160112938	52.0	455.029149449	165046.0
temp | CRR215301.merged	95.8132659387	54.0	460.554885318	41942.0
temp | CRR215302.merged	96.9534533955	54.0	450.502333115	51862.0
temp | CRR215303.merged	95.0173611111	52.0	459.688348765	51840.0
temp | CRR215304.merged	95.4135108255	52.0	456.082969933	52284.0
temp | CRR215305.merged	95.2138845878	51.0	458.268979224	43271.0
temp | CRR215306.merged	95.9886108801	51.0	457.223776048	79374.0
temp | CRR215307.merged	96.158639599	51.0	456.67266735	36107.0
temp | CRR215308.merged	95.86520038	53.0	455.880416056	62107.0
temp | CRR215309.merged	96.5267831567	51.0	456.813950158	97748.0
temp | CRR215310.merged	95.7057151879	52.0	457.513174052	57006.0
temp | CRR215311.merged	96.1612188089	53.0	451.849399097	59993.0
temp | CRR215312.merged	96.4019067665	50.0	460.019996286	80765.0
temp | CRR215313.merged	95.2325723355	51.0	454.738981809	32764.0
temp | CRR215314.merged	96.4401795388	52.0	455.862422398	58149.0
temp | CRR215315.merged	96.9346565657	51.0	457.11432043	122629.0
temp | CRR215316.merged	96.5118245028	52.0	451.696493861	94634.0
temp | CRR215317.merged	95.611943146	51.0	455.253147954	41932.0
temp | CRR215318.merged	95.7622739018	51.0	454.528731389	40635.0
temp | CRR215319.merged	95.5302556203	52.0	455.806479565	41546.0
temp | CRR215320.merged	94.902268479	52.0	458.601043085	43333.0
temp | CRR215321.merged	96.0744785104	52.0	454.38100238	71430.0
temp | CRR215322.merged	96.2472950393	52.0	453.628441121	73014.0
temp | CRR215323.merged	95.9971910112	52.0	457.205912044	45568.0
temp | CRR215324.merged	96.6254826255	51.0	455.729467181	64750.0
temp | CRR215325.merged	97.2913223584	51.0	456.786986757	93182.0
temp | CRR215326.merged	96.5046757627	52.0	458.857810823	65230.0
temp | CRR215327.merged	96.6828272518	51.0	454.751420817	86218.0
temp | CRR215328.merged	96.9182412025	52.0	452.826657653	113896.0
temp | CRR215329.merged	96.8719216985	51.0	454.36383166	95426.0
temp | CRR215330.merged	96.7883672713	51.0	462.444822804	72829.0
temp | CRR215331.merged	96.4317945158	51.0	455.629878514	72025.0
temp | CRR215332.merged	97.1629656365	52.0	451.935262048	105286.0
temp | CRR215333.merged	96.2366582329	52.0	456.719910859	59681.0
temp | CRR215334.merged	93.8750714694	51.0	453.104095197	27984.0
temp | CRR215335.merged	96.6462386473	53.0	452.760480504	85993.0
temp | CRR215336.merged	96.5224776356	52.0	453.397452157	88310.0
temp | CRR215337.merged	95.9116883117	51.0	461.12987013	57750.0
temp | CRR215338.merged	95.024068648	52.0	453.369035161	38224.0
temp | CRR215339.merged	98.0762172743	54.0	471.754633594	65392.0
temp | CRR215340.merged	95.9319587291	52.0	453.582878139	60963.0
temp | CRR215341.merged	96.4792592333	52.0	459.507994262	85749.0
temp | CRR215342.merged	97.2339292222	52.0	454.212062311	107011.0
temp | CRR215343.merged	95.7853418142	52.0	463.369061945	34902.0
temp | CRR215344.merged	95.9766866143	51.0	456.741350071	51301.0
temp | CRR215345.merged	95.5166799197	52.0	456.342212882	52818.0
temp | CRR215346.merged	95.3627748436	52.0	453.206540061	26697.0
temp | CRR215347.merged	96.264696608	52.0	454.764016397	110995.0
temp | CRR215348.merged	96.4309694747	52.0	455.180452972	77444.0
temp | CRR215349.merged	97.3882834268	52.0	456.382681433	170118.0
temp | CRR215350.merged	96.6881054682	53.0	450.531571082	74942.0
temp | CRR215351.merged	97.0547842962	52.0	453.315763547	133980.0
temp | CRR215352.merged	95.4477715739	52.0	454.555884515	50327.0
temp | CRR215353.merged	97.4992544626	53.0	450.866357091	70419.0
temp | CRR215354.merged	97.0140324867	53.0	450.302732368	76893.0
temp | CRR215355.merged	95.715193897	51.0	458.063394787	39325.0
temp | CRR215356.merged	96.3977537324	52.0	452.132917213	51107.0
temp | CRR215357.merged	95.5193421566	52.0	452.657573302	66642.0
temp | CRR215358.merged	95.7552273356	52.0	452.515637974	39743.0
temp | CRR215359.merged	96.180338134	51.0	457.970366312	63880.0
temp | CRR215360.merged	96.4555815679	51.0	455.981348209	103797.0
temp | CRR215361.merged	96.4228408238	53.0	464.269523487	67931.0
temp | CRR215362.merged	95.0089955953	55.0	460.225044978	32238.0
temp | CRR215363.merged	96.1989508665	51.0	458.242618989	36411.0
temp | CRR215364.merged	96.4991600473	54.0	458.698612523	48217.0
temp | CRR215365.merged	97.2751190178	52.0	470.954460035	31928.0
temp | CRR215366.merged	95.546020275	54.0	457.301691258	39852.0
temp | CRR215367.merged	96.36867303	54.0	452.735840535	66422.0
temp | CRR215368.merged	96.3460516527	53.0	465.098097566	47045.0
temp | CRR215369.merged	97.129052718	54.0	469.161362534	53606.0
temp | CRR215370.merged	95.5730999715	52.0	456.385998288	52565.0
temp | CRR215371.merged	96.695803112	53.0	458.332874589	80655.0
temp | CRR215372.merged	96.5542194645	51.0	460.504180203	64949.0
temp | CRR215373.merged	96.6823881284	52.0	454.973841022	86930.0
temp | CRR215374.merged	96.0880749381	51.0	456.330394266	61811.0
temp | CRR215375.merged	95.335727826	54.0	464.115284845	40092.0
temp | CRR215376.merged	97.3641153892	52.0	451.517832814	160743.0
temp | CRR215377.merged	88.4462940943	51.0	457.835116924	5046.0
temp | CRR215378.merged	97.6174133331	52.0	454.500810235	141317.0
temp | CRR215379.merged	96.6714063009	51.0	455.218851181	58373.0
temp | CRR215380.merged	96.8373216172	52.0	453.181158084	59633.0
temp | CRR215381.merged	96.2211508873	52.0	452.312175608	48745.0
temp | CRR215382.merged	96.269742871	52.0	451.267020646	37102.0
temp | CRR215383.merged	96.1776509157	52.0	452.059009722	70768.0
temp | CRR215384.merged	97.009184478	51.0	454.785677755	93854.0
temp | CRR215385.merged	95.8718525727	51.0	456.931136723	65768.0
temp | CRR215386.merged	95.4235225649	52.0	454.132585577	56703.0
temp | CRR215387.merged	97.217083947	51.0	453.803946981	84875.0
temp | CRR215388.merged	96.4257279647	52.0	453.939098311	94201.0
temp | CRR215389.merged	96.2754190419	52.0	454.033927508	47012.0
temp | CRR215390.merged	96.8381279908	52.0	453.687919273	88397.0
temp | CRR215391.merged	96.9090437489	51.0	456.286896939	92528.0
temp | CRR215392.merged	96.2085908573	51.0	455.909065311	71029.0
temp | CRR215393.merged	95.8113370835	52.0	458.032522717	57775.0
temp | CRR215394.merged	95.3611046467	53.0	451.545884726	38673.0
temp | CRR215395.merged	96.7753237085	52.0	457.982657694	68503.0
temp | CRR215396.merged	96.5170690205	52.0	456.135045553	56418.0
temp | CRR215397.merged	96.1547082917	52.0	456.997045218	49073.0
temp | CRR215398.merged	96.3510398625	52.0	453.031449817	76789.0
temp | CRR215399.merged	95.919198317	52.0	456.716130929	44207.0
temp | CRR215400.merged	94.7802124301	52.0	452.432458464	37377.0
temp | CRR215401.merged	96.3198359815	51.0	455.834563472	58530.0
temp | CRR215402.merged	95.796283345	51.0	455.518558298	40036.0
temp | CRR215403.merged	96.6401345511	51.0	455.523908239	51133.0
temp | CRR215404.merged	97.1990932239	51.0	454.189230422	93077.0
temp | CRR215405.merged	96.6919250926	51.0	459.000578607	89871.0
temp | CRR215406.merged	97.1929523155	52.0	451.765786661	104772.0
temp | CRR215407.merged	95.6757080953	52.0	455.520084567	66693.0
temp | CRR215408.merged	96.0051521243	51.0	457.848051365	51241.0
temp | CRR215409.merged	97.1787804195	53.0	453.852659818	67843.0
temp | CRR215410.merged	94.5788880215	52.0	455.683927487	34587.0
temp | CRR215411.merged	95.4007285974	52.0	453.13978277	59292.0
temp | CRR215412.merged	96.1452863651	52.0	453.210314011	57514.0
temp | CRR215413.merged	96.7178169974	52.0	452.01756941	75529.0
temp | CRR215414.merged	97.0324326176	53.0	453.010822288	58398.0
temp | CRR215415.merged	97.0329083902	51.0	456.980171954	84325.0
temp | CRR215416.merged	97.0502215922	53.0	452.49733551	55733.0
temp | CRR215417.merged	97.1135359503	51.0	455.462992908	78539.0
temp | CRR215418.merged	96.8063806742	51.0	456.085732104	60934.0
temp | CRR215419.merged	96.2350370039	52.0	451.41862862	80532.0
temp | CRR215420.merged	95.9346110796	52.0	454.544737242	72367.0
temp | CRR215421.merged	95.8793395514	51.0	453.701593975	48997.0
temp | CRR215422.merged	96.3229766119	52.0	452.302103695	73157.0
temp | CRR215423.merged	95.9297223995	51.0	453.844567645	50144.0
temp | CRR215424.merged	96.9116784038	52.0	453.192249853	54528.0
temp | CRR215425.merged	97.0918790139	51.0	454.965182826	77232.0
temp | CRR215426.merged	95.8141273203	52.0	461.14256883	40135.0
temp | CRR215427.merged	96.3249926598	52.0	465.755521482	61306.0
temp | CRR215428.merged	96.3936653083	53.0	468.02150217	60366.0
temp | CRR215429.merged	96.2396855305	52.0	453.727178221	61564.0
temp | CRR215430.merged	95.7240349755	53.0	461.889315419	28134.0
temp | CRR215431.merged	95.3168242102	53.0	466.903712756	27823.0
temp | CRR215432.merged	95.659936238	55.0	464.403528162	23525.0
temp | CRR215433.merged	95.8319837712	52.0	466.305415864	58661.0
temp | CRR215434.merged	95.9435443875	54.0	459.158228633	48392.0
temp | CRR215435.merged	95.97448618	53.0	460.872916878	49385.0
temp | CRR215436.merged	97.0156256109	52.0	453.357786089	76733.0
temp | CRR215437.merged	95.2729953597	52.0	460.341732079	46118.0
temp | CRR215438.merged	96.763726652	52.0	453.380791152	70884.0
temp | CRR215439.merged	96.164636464	51.0	456.447447013	55249.0
temp | CRR215440.merged	95.626336041	52.0	459.192204646	70170.0
temp | CRR215441.merged	95.8977307315	52.0	461.39991207	59138.0
temp | CRR215442.merged	95.0847653097	52.0	456.964410103	43355.0
temp | CRR215443.merged	95.8272164422	52.0	455.460745516	62668.0
temp | CRR215444.merged	95.7708328591	52.0	453.87587918	43933.0
temp | CRR215445.merged	95.2839840269	52.0	455.861423715	60602.0
temp | CRR215446.merged	95.9779988162	53.0	457.41197361	69269.0
temp | CRR215447.merged	96.6690081802	51.0	454.854263443	88262.0
temp | CRR215448.merged	95.4361901324	52.0	454.987614772	44327.0
temp | CRR215449.merged	95.1826371826	53.0	458.863701884	61050.0
temp | CRR215450.merged	95.6555919513	51.0	455.684192794	53425.0
temp | CRR215451.merged	96.0106561899	51.0	459.836564724	74323.0
temp | CRR215452.merged	96.355764473	53.0	451.929403761	80840.0
temp | CRR215453.merged	96.7128772146	51.0	456.030289424	53451.0
temp | CRR215454.merged	96.4219982102	53.0	454.004103136	59223.0
temp | CRR215455.merged	95.3241167435	52.0	455.048704557	48825.0
temp | CRR215456.merged	94.5461219781	52.0	461.158634433	38138.0
temp | CRR215457.merged	96.1025420363	53.0	458.125463392	60424.0
temp | CRR215458.merged	96.3717412759	52.0	452.912597997	90181.0
temp | CRR215459.merged	95.1779483601	50.0	460.032519191	42990.0
temp | CRR215460.merged	95.9863588667	52.0	461.065057712	68616.0
temp | CRR215461.merged	95.9638231011	52.0	456.636897371	65235.0
temp | CRR215462.merged	95.9632669011	52.0	457.775947636	51180.0
temp | CRR215463.merged	96.5467225655	52.0	465.137753581	50329.0
temp | CRR215464.merged	96.0535737966	52.0	454.722331256	75410.0
temp | CRR215465.merged	96.1767116144	52.0	454.512448782	67115.0
temp | CRR215466.merged	96.5356034624	52.0	454.23381104	48984.0
temp | CRR215467.merged	96.2683418499	52.0	453.228517182	42662.0
temp | CRR215468.merged	95.579358504	52.0	449.830394129	33796.0
temp | CRR215469.merged	95.6369491872	52.0	449.931065331	39124.0
temp | CRR215470.merged	95.2622266879	52.0	450.692732793	45781.0
temp | CRR215471.merged	96.0720950344	52.0	451.321560238	43942.0
temp | CRR215472.merged	96.2702477516	51.0	456.321145882	40807.0
temp | CRR215473.merged	95.8877522138	51.0	455.683514617	49462.0
temp | CRR215474.merged	96.7470422268	52.0	451.311828722	42177.0
temp | CRR215475.merged	96.2081799264	51.0	455.691651993	49976.0
temp | CRR215476.merged	97.3047715201	52.0	450.763150579	68343.0
temp | CRR215477.merged	96.1332656968	52.0	461.148876634	61111.0
temp | CRR215478.merged	97.0871529419	53.0	461.89417973	129049.0
temp | CRR215479.merged	97.1549917889	53.0	451.112158106	88295.0
temp | CRR215480.merged	96.8793900462	52.0	457.705553221	83285.0
temp | CRR215481.merged	96.8410588712	52.0	450.732803161	81483.0
temp | CRR215482.merged	96.8313382169	51.0	459.263417902	111940.0
temp | CRR215483.merged	96.9009514623	51.0	456.76779936	114035.0
temp | CRR215484.merged	96.7980063454	52.0	451.400469095	95503.0
temp | CRR215485.merged	97.8051925218	53.0	453.004170818	102378.0
temp | CRR215486.merged	96.1440465899	52.0	456.485372401	87916.0
temp | CRR215487.merged	96.6868546279	52.0	450.885333007	106334.0
temp | CRR215488.merged	96.297702677	51.0	453.888714096	73738.0
temp | CRR215489.merged	96.2048886715	51.0	455.923340329	63371.0
temp | CRR215490.merged	96.5964767925	52.0	450.376494496	80211.0
temp | CRR215491.merged	95.5010145154	52.0	453.551798814	51256.0
temp | CRR215492.merged	97.2402059855	53.0	456.100229507	87579.0
temp | CRR215493.merged	96.9143248596	51.0	454.341598535	67149.0
temp | CRR215494.merged	96.5859714463	51.0	457.049164833	70884.0
temp | CRR215495.merged	96.4476941678	50.0	460.536588174	69476.0
