Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214483.merged	96.5519262327	50.0	462.210068766	51188.0
temp | CRR214484.merged	95.3668097816	52.0	458.781220833	26785.0
temp | CRR214485.merged	95.2995616171	52.0	458.170888131	24636.0
temp | CRR214486.merged	96.0470363621	53.0	459.197821748	46092.0
temp | CRR214487.merged	96.2300762301	52.0	455.353118503	57720.0
temp | CRR214488.merged	96.2835559153	53.0	455.050699222	44478.0
temp | CRR214489.merged	95.0569168435	51.0	460.169978777	25915.0
temp | CRR214490.merged	96.6402802102	53.0	451.740525394	71375.0
temp | CRR214491.merged	96.1525241676	53.0	450.611213749	46550.0
temp | CRR214492.merged	95.2454590727	52.0	454.837732288	38153.0
temp | CRR214493.merged	96.556232263	51.0	456.256975224	62722.0
temp | CRR214494.merged	96.2245724358	51.0	454.219117717	41982.0
temp | CRR214495.merged	94.7192077329	50.0	461.485144992	33726.0
temp | CRR214496.merged	94.9749886312	52.0	453.902910414	26388.0
temp | CRR214497.merged	97.606763225	55.0	471.587772736	32174.0
temp | CRR214498.merged	94.9040465751	53.0	456.87446992	27826.0
temp | CRR214499.merged	96.6104908862	52.0	458.478501505	84378.0
temp | CRR214500.merged	96.42693541	52.0	455.732953945	56758.0
temp | CRR214501.merged	96.4196401342	51.0	454.208051235	65580.0
temp | CRR214502.merged	96.0551647538	52.0	457.351869678	54020.0
temp | CRR214503.merged	95.458613846	53.0	459.872494844	51394.0
temp | CRR214504.merged	96.485484331	52.0	454.875230973	80637.0
temp | CRR214505.merged	94.8659135244	51.0	456.992025553	46649.0
temp | CRR214506.merged	95.0805970149	53.0	454.10161194	33500.0
temp | CRR214507.merged	95.5197508311	52.0	458.502770208	33391.0
temp | CRR214508.merged	95.8287308877	51.0	453.471803965	34402.0
temp | CRR214509.merged	96.6574320122	53.0	450.994233053	88435.0
temp | CRR214510.merged	95.8280163546	51.0	455.142321415	38399.0
temp | CRR214511.merged	94.9255639784	53.0	452.627600694	54745.0
temp | CRR214512.merged	96.6424682396	53.0	453.999977314	88160.0
